wlan_radio.signal_dbm
-54
-54
-54
-51
-51
-50
-51
-51
-52
-54
-59
-60
-62
-63
-55
-51
-50
-51
-53
-50
-52
-53
-50
-49
-50
-50
-49
-50
-55
-55
-54
-54
-53
-55
-54
-57
-58
-56
-62
-55
-53
-57
-56
-64
-72
-64
-65
-65
-65
-67
-63
-63
-64
-68
-63
-61
-61
-64
-59
-55
-50
-55
-50
-48
-48
-50
-53
-56
-56
-59
-56
-52
-50
-49
-50
-53
-58
-58
-62
-60
-61
-57
-54
-44
-38
-41
-44
-42
-44
-45
-45
-44
-45
-43
-42
-42
-43
-46
-47
-48
-48
-45
-45
-44
-46
-46
-45
-44
-43
-42
-45
-46
-48
-45
-42
-41
-47
-48
-46
-44
-43
-45
-45
-46
-42
-42
-43
-44
-44
-44
-49
-60
-64
-69
-64
-63
-61
-61
-55
-63
-66
-60
-57
-56
-62
-49
-46
-43
-44
-45
-46
-47
-47
-46
-44
-43
-42
-43
-43
-43
-47
-49
-50
-52
-47
-46
-47
-46
-47
-49
-51
-53
-54
-55
-55
-55
-59
-64
-62
-57
-57
-57
-56
-56
-54
-51
-48
-49
-47
-50
-48
-49
-50
-50
-46
-44
-43
-42
-44
-46
-48
-48
-47
-47
-45
-47
-49
-47
-50
-52
-49
-56
-52
-51
-48
-45
-46
-48
-48
-47
-48
-56
-55
-51
-51
-47
-46
-43
-49
-47
-47
-46
-48
-48
-50
-50
-44
-48
-57
-50
-51
-51
-51
-50
-55
-59
-61
-58
-62
-56
-53
-48
-52
-65
-55
-60
-66
-65
-58
-57
-57
-62
-54
-50
-47
-44
-42
-41
-46
-41
-41
-48
-46
-43
-43
-49
-47
-50
-46
-46
-47
-48
-48
-48
-41
-42
-45
-43
-43
-47
-47
-48
-47
-45
-45
-45
-48
-47
-50
-46
-47
-49
-45
-42
-46
-49
-48
-48
-47
-48
-50
-47
-44
-45
-52
-54
-49
-47
-47
-47
-51
-54
-51
-47
-48
-47
-51
-49
-47
-47
-48
-51
-51
-52
-52
-47
-49
-47
-45
-45
-49
-50
-50
-47
-49
-48
-50
-50
-52
-50
-46
-48
-48
-48
-47
-46
-45
-43
-44
-49
-50
-44
-43
-45
-47
-46
-45
-45
-43
-44
-49
-50
-49
-46
-46
-46
-45
-43
-43
-46
-50
-54
-53
-53
-47
-45
-42
-41
-41
-43
-46
-48
-52
-55
-54
-48
-45
-45
-41
-38
-42
-45
-48
-53
-57
-64
-71
-69
-64
-65
-63
-66
-65
-67
-73
-62
-59
-56
-55
-57
-60
-59
-58
-57
-59
-57
-57
-53
-50
-48
-44
-43
-46
-55
-50
-47
-52
-53
-54
-55
-46
-41
-46
-56
-46
-42
-41
-41
-43
-45
-44
-49
-52
-54
-55
-54
-50
-50
-49
-48
-49
-50
-53
-54
-57
-60
-62
-59
-55
-54
-58
-56
-50
-43
-41
-40
-42
-50
-48
-47
-48
-47
-45
-50
-48
-44
-43
-42
-45
-48
-50
-49
-50
-47
-45
-44
-43
-43
-41
-44
-44
-44
-51
-55
-59
-57
-60
-55
-58
-56
-53
-48
-47
-46
-46
-44
-44
-46
-51
-49
-47
-47
-45
-41
-42
-44
-48
-48
-46
-44
-46
-43
-44
-47
-47
-42
-42
-43
-44
-47
-42
-44
-49
-46
-44
-40
-40
-43
-46
-48
-47
-46
-47
-47
-49
-49
-47
-45
-53
-48
-54
-55
-48
-48
-50
-48
-41
-45
-47
-53
-53
-48
-47
-51
-50
-58
-54
-54
-49
-51
-49
-50
-55
-53
-50
-62
-47
-44
-50
-59
-62
-60
-64
-64
-67
-57
-57
-49
-47
-44
-44
-42
-45
-49
-48
-45
-47
-44
-47
-48
-51
-53
-52
-51
-47
-47
-51
-50
-51
-47
-50
-52
-55
-52
-50
-47
-47
-50
-53
-55
-50
-47
-49
-51
-53
-54
-53
-53
-51
-50
-51
-49
-46
-45
-49
-55
-58
-57
-57
-60
-52
-48
-47
-50
-54
-54
-55
-58
-54
-55
-50
-46
-45
-48
-51
-53
-53
-60
-58
-56
-54
-50
-51
-53
-51
-51
-49
-51
-53
-54
-59
-60
-53
-46
-44
-46
-49
-51
-55
-62
-59
-61
-54
-50
-50
-48
-45
-48
-51
-53
-54
-55
-57
-59
-56
-53
-50
-50
-51
-48
-48
-50
-54
-62
-60
-61
-55
-49
-46
-48
-51
-54
-51
-53
-54
-56
-52
-48
-43
-43
-49
-48
-47
-47
-49
-46
-42
-39
-45
-41
-43
-46
-47
-58
-57
-57
-63
-59
-65
-70
-64
-63
-63
-66
-69
-62
-58
-58
-59
-64
-60
-68
-62
-59
-59
-58
-60
-61
-60
-59
-60
-61
-56
-55
-52
-51
-50
-51
-47
-46
-52
-51
-50
-50
-50
-50
-50
-51
-54
-57
-50
-48
-46
-48
-48
-50
-49
-54
-48
-48
-48
-51
-54
-52
-47
-44
-44
-47
-55
-58
-59
-62
-60
-56
-54
-50
-44
-40
-42
-50
-55
-51
-47
-48
-56
-51
-47
-52
-57
-46
-45
-46
